Ortografia Antiga	Ortografia Nova
ab-reacção	ab-reação
ab-reactivo	ab-reativo
abaptista	abatista
abjecção	abjeção
abjeccionista	abjecionista
abjectamente	abjetamente
abjecto	abjeto
Abril	abril
abrotanóide	abrotanoide
abstracção	abstração
abstraccionismo	abstracionismo
abstraccionista	abstracionista
abstracta	abstrata
abstractamente	abstratamente
abstractício	abstratício
abstractismo	abstratismo
abstractivamente	abstrativamente
abstractivismo	abstrativismo
abstractivo	abstrativo
abstractizado	abstratizado
abstractizante	abstratizante
abstractizar	abstratizar
abstracto	abstrato
abstractor	abstrator
abutilóide	abutiloide
acantóide	acantoide
acantozóide	acantozoide
acaróide	acaroide
acatalecto	acataleto
acatéctico	acatético
acção	ação
accionabilidade	acionabilidade
accionadamente	acionadamente
accionado	acionado
accionador	acionador
accional	acional
accionamento	acionamento
accionar	acionar
accionário	acionário
accionável	acionável
accionista	acionista
accipitrário	accipitrário, acipitrário
accipitrídeo	accipitrídeo, acipitrídeo
accipitrino	accipitrino, acipitrino
acepção	aceção
aceptor	acetor
acha-de-armas	acha de armas
acta	ata
actinóide	actinoide
activa	ativa
activação	ativação
activado	ativado
activador	ativador
activamente	ativamente
activante	ativante
activar	ativar
activável	ativável
actividade	atividade
activismo	ativismo
activíssimo	ativíssimo
activista	ativista
activo	ativo
acto	ato
actor	ator
actor-encenador	ator-encenador
actriz	atriz
actuação	atuação
actuador	atuador
actual	atual
actualidade	atualidade
actualismo	atualismo
actualíssimo	atualíssimo
actualista	atualista
actualização	atualização
actualizado	atualizado
actualizador	atualizador
actualizante	atualizante
actualizar	atualizar
actualizável	atualizável
actualmente	atualmente
actuante	atuante
actuar	atuar
actuária	atuária
actuariado	atuariado
actuarial	atuarial
actuário	atuário
actuável	atuável
actuosamente	atuosamente
actuosidade	atuosidade
actuoso	atuoso
açúcar-de-madeira	açúcar de madeira
acupunctor	acupuntor, acupunctor
acupunctura	acupuntura, acupunctura
acupuncturação	acupunturação, acupuncturação
acupuncturador	acupuncturador, acupunturador
acupunctural	acupuntural, acupunctural
acupuncturar	acupunturar, acupuncturar
acutibóia	acutiboia
acutimbóia	acutimboia
ad-rectal	ad-retal, ad-rectal
adenóide	adenoide
adjecção	adjeção
adjectivação	adjetivação
adjectivado	adjetivado
adjectival	adjetival
adjectivalização	adjetivalização
adjectivamente	adjetivamente
adjectivamento	adjetivamento
adjectivar	adjetivar
adjectivável	adjetivável
adjectividade	adjetividade
adjectivo	adjetivo
adjectivo-particípio	adjetivo-particípio
adjecto	adjeto
adopção	adoção
adopcianismo	adocianismo
adopciano	adociano
adopcionismo	adocionismo
adoptação	adotação
adoptado	adotado
adoptante	adotante
adoptar	adotar
adoptável	adotável
adoptiva	adotiva
adoptivamente	adotivamente
adoptivo	adotivo
aeróide	aeroide
afecção	afeção
afeccional	afecional
afeccionalidade	afecionalidade
afectação	afetação
afectada	afetada
afectadamente	afetadamente
afectado	afetado
afectador	afetador
afectante	afetante
afectar	afetar
afectativo	afetativo
afectável	afetável
afectivamente	afetivamente
afectível	afetível
afectividade	afetividade
afectivo	afetivo
afecto	afeto
afectuosamente	afetuosamente
afectuosidade	afetuosidade
afectuoso	afetuoso
afiláctico	afilático
aftóide	aftoide
agatóide	agatoide
agnostozóico	agnostozoico
Agosto	agosto
agro-alimentar	agroalimentar
agro-ambiental	agroambiental
agro-florestal	agroflorestal
agro-indústria	agroindústria
agro-industrial	agroindustrial
agro-pecuária	agropecuária
agro-pecuário	agropecuário
agro-químico	agroquímico
agro-turismo	agroturismo
água-de-força	água de força
água-de-lume	água de lume
água-de-mesa	água de mesa
água-de-végeto	água de végeto
ajudante-de-campo	ajudante de campo
ajudante-de-ordens	ajudante de ordens
alantóide	alantoide
albóio	alboio
albuminóide	albuminoide
alcalino-gasoso	alcalinogasoso
alcalino-terroso	alcalinoterroso
alcalóide	alcaloide
alfinete-de-ama	alfinete de ama
algodão-das-laranjeiras	algodão das laranjeiras
algodão-das-oliveiras	algodão das oliveiras
algodão-de-vidro	algodão de vidro
algodão-em-rama	algodão em rama
algóide	algoide
alisfenóide	alisfenoide
alma-do-padeiro	alma do padeiro
almécega-do-brasil	almécega do brasil
almorróida	almorroida
alocróico	alocroico
ama-de-leite	ama de leite
amebóide	ameboide
amebóides	ameboides
amiantóide	amiantoide
amibóide	amiboide
amibóides	amiboides
amigo-da-onça	amigo da onça
amilóide	amiloide
amiotáctico	amiotático
amonóide	amonoide
amonóides	amonoides
amplectivo	ampletivo
anabaptismo	anabatismo
anabaptista	anabatista
anafiláctico	anafilático
anapnóico	anapnoico
anaptíctico	anaptítico
anarco-sindicalista	anarcossindicalista
ancilóide	anciloide
anciróide	anciroide
andrenóide	andrenoide
androginóide	androginoide
andróide	androide
androléptico	androlético
anecóico	anecoico
aneléctrico	anelétrico
anelectródio	aneletródio
aneléctrodo	anelétrodo
anepiplóico	anepiploico
aneróide	aneroide
aneuplóide	aneuploide
anfibolóide	anfiboloide
angiectático	angietático
angu-de-caroço	angu de caroço
anguilóide	anguiloide
anictérico	anictérico, anitérico
anjo-da-guarda	anjo da guarda
anóptico	anótico
anoréctico	anorético
antárctia	antártia
antárctico	antártico
antasfíctico	antasfítico
anteacto	anteato
anteprojecto	anteprojeto
anteróide	anteroide
anterozóide	anterozoide
anti-heróico	anti-heroico
anti-ictérico	anti-ictérico, anti-itérico
anti-infecciosamente	anti-infeciosamente
anti-infeccioso	anti-infecioso
anti-rábico	antirrábico
anti-racional	antirracional
anti-racionalismo	antirracionalismo
anti-racionalista	antirracionalista
anti-racismo	antirracismo
anti-racista	antirracista
anti-raquítico	antirraquítico
anti-real	antirreal
anti-realismo	antirrealismo
anti-realista	antirrealista
anti-reflexo	antirreflexo
anti-reformismo	antirreformismo
anti-reformista	antirreformista
anti-regiões	antirregiões
anti-regionalista	antirregionalista
anti-regionalização	antirregionalização
anti-regulamentar	antirregulamentar
anti-religioso	antirreligioso
anti-republicana	antirrepublicana
anti-republicanismo	antirrepublicanismo
anti-republicano	antirrepublicano
anti-ressonância	antirressonância
anti-retroviral	antirretroviral
anti-reumático	antirreumático
anti-reumatismal	antirreumatismal
anti-revisionismo	antirrevisionismo
anti-revisionista	antirrevisionista
anti-revolução	antirrevolução
anti-revolucionária	antirrevolucionária
anti-revolucionário	antirrevolucionário
anti-roubo	antirroubo
anti-rugas	antirrugas
anti-salazarista	antissalazarista
anti-sátira	antissátira
anti-semita	antissemita
anti-semítico	antissemítico
anti-semitismo	antissemitismo
anti-sepsia	antissepsia
anti-sepsiador	antissepsiador
anti-sepsiar	antissepsiar
anti-séptico	antisséptico, antissético
anti-sezonático	antissezonático
anti-sialagogo	antissialagogo
anti-siálico	antissiálico
anti-sida	antissida
anti-sifilítico	antissifilítico
anti-sigma	antissigma
anti-simbólico	antissimbólico
anti-sinodal	antissinodal
anti-sísmico	antissísmico
anti-sistema	antissistema
anti-social	antissocial
anti-socialismo	antissocialismo
anti-socialista	antissocialista
