Ortografia Antiga	Ortografia Nova
abrotanóide	abrotanoide
abutilóide	abutiloide
acantóide	acantoide
acantozóide	acantozoide
acaróide	acaroide
acha-de-armas	acha de armas
açotéia	açoteia
acroléico	acroleico
actéia	acteia
actinóide	actinoide
açúcar-de-madeira	açúcar de madeira
acutibóia	acutiboia
acutimbóia	acutimboia
adenóide	adenoide
aeróide	aeroide
aftóide	aftoide
agatéia	agateia
agatóide	agatoide
agéia	ageia
agnostozóico	agnostozoico
água-de-força	água de força
água-de-lume	água de lume
água-de-mesa	água de mesa
água-de-végeto	água de végeto
agüentador	aguentador
agüista	aguista
aiúba	aiuba
ajudante-de-campo	ajudante de campo
ajudante-de-ordens	ajudante de ordens
alantóide	alantoide
albóio	alboio
albuminóide	albuminoide
alcaguete, alcagüete	alcaguete
alcalino-gasoso	alcalinogasoso
alcalinoterroso	alcalinoterroso
alcalóide	alcaloide
alcatéia	alcateia
aléia	aleia
alféia	alfeia
alfinete-de-ama	alfinete de ama
algodão-das-laranjeiras	algodão das laranjeiras
algodão-das-oliveiras	algodão das oliveiras
algodão-de-vidro	algodão de vidro
algodão-em-rama	algodão em rama
algóide	algoide
aliluréia	alilureia
alisfenóide	alisfenoide
alma-do-padeiro	alma do padeiro
almécega-do-brasil	almécega do brasil
almorróida	almorroida
alocróico	alocroico
altéia	alteia
altiloqüência	altiloquência
altiloqüente	altiloquente
ama-de-leite	ama de leite
amaltéia	amalteia
ambigüidade	ambiguidade
ambigüifloro	ambiguifloro
amebóide	ameboide
amebóides	ameboides
amenorréia	amenorreia
amenorréico	amenorreico
amiantóide	amiantoide
amibóide	amiboide
amibóides	amiboides
amigo-da-onça	amigo da onça
amilóide	amiloide
amixorréia	amixorreia
amniorréia	amniorreia
amniorréico	amniorreico
amonóide	amonoide
amonóides	amonoides
amoréia	amoreia
anapnóico	anapnoico
anarcossindicalista	anarcossindicalista
anarréia	anarreia
anarréico	anarreico
ancilóide	anciloide
anciróide	anciroide
andracnéia	andracneia
andréia	andreia
andrenóide	andrenoide
androginóide	androginoide
andróide	androide
anecóico	anecoico
anepiplóico	anepiploico
aneróide	aneroide
aneuplóide	aneuploide
anfibolóide	anfiboloide
angu-de-caroço	angu de caroço
anguilóide	anguiloide
angüicida	anguicida
angüicomado	anguicomado
angüídeo	anguídeo
angüiforme	anguiforme
angüígena	anguígena
angüilária	anguilária
angüiliforme	anguiliforme
angüilulado	anguilulado
angüina	anguina
angüinha	anguinha
angüissáurio	anguissáurio
angüite	anguite
angüivípera	anguivípera
anjo-da-guarda	anjo da guarda
anoléico	anoleico
anteróide	anteroide
anterozóide	anterozoide
antestréia	antestreia
anti-heróico	anti-heroico
anti-rábico	antirrábico
anti-racional	antirracional
anti-racionalismo	antirracionalismo
anti-racionalista	antirracionalista
anti-racismo	antirracismo
anti-racista	antirracista
anti-raquítico	antirraquítico
anti-real	antirreal
anti-realismo	antirrealismo
anti-realista	antirrealista
anti-reflexo	antirreflexo
anti-reformismo	antirreformismo
anti-reformista	antirreformista
anti-regiões	antirregiões
anti-regionalista	antirregionalista
anti-regionalização	antirregionalização
anti-regulamentar	antirregulamentar
anti-religioso	antirreligioso
anti-republicana	antirrepublicana
anti-republicanismo	antirrepublicanismo
anti-republicano	antirrepublicano
anti-ressonância	antirressonância
anti-reumático	antirreumático
anti-reumatismal	antirreumatismal
anti-revisionismo	antirrevisionismo
anti-revisionista	antirrevisionista
anti-revolução	antirrevolução
anti-revolucionária	antirrevolucionária
anti-revolucionário	antirrevolucionário
anti-roubo	antirroubo
anti-rugas	antirrugas
anti-salazarista	antissalazarista
anti-sátira	antissátira
anti-semita	antissemita
anti-semítico	antissemítico
anti-semitismo	antissemitismo
anti-sepsia	antissepsia
anti-sepsiador	antissepsiador
anti-sepsiar	antissepsiar
anti-séptico	antisséptico
anti-sezonático	antissezonático
anti-sialagogo	antissialagogo
anti-siálico	antissiálico
anti-sida	antissida
anti-sifilítico	antissifilítico
anti-sigma	antissigma
anti-simbólico	antissimbólico
anti-sinodal	antissinodal
anti-sísmico	antissísmico
anti-sistema	antissistema
anti-social	antissocial
anti-socialismo	antissocialismo
anti-socialista	antissocialista
anti-sociável	antissociável
anti-sofista	antissofista
anti-soro	antissoro
anti-soviético	antissoviético
anti-submarino	antissubmarino
anti-subversão	antissubversão
anti-sudoral	antissudoral
anti-sudorífico	antissudorífico
antidiarréico	antidiarreico
antidispnéico	antidispneico
antigüidade	antiguidade
antiiberismo	anti-iberismo
antiiberista	anti-iberista
antiictérico,antiitérico	anti-ictérico, anti-itérico
antiimigração	anti-imigração
antiimperialismo	anti-imperialismo
antiimperialista	anti-imperialista
antiincêndio	anti-incêndio
antiindonésio	anti-indonésio
antiindustrial	anti-industrial
antiinfalibilismo	anti-infalibilismo
antiinflacionista	anti-inflacionista
antiinflamatório	anti-inflamatório
antiiraquiano	anti-iraquiano
antiislâmico	anti-islâmico
antiisomorfismo	anti-isomorfismo
antiisraelita	anti-israelita
antracóide	antracoide
antropóide	antropoide
antropozóico	antropozoico
apnéia	apneia
apnéico	apneico
aporréia	aporreia
apuléia	apuleia
aquéia	aqueia
aquiléia	aquileia
aquiléico	aquileico
aqüense	aquense
aqüicaldense	aquicaldense
aqüícola	aquícola
aqüicultor	aquicultor
aqüicultura	aquicultura
aqüífero	aquífero
aqüifoliácea	aquifoliácea
aqüifólio	aquifólio
aqüilégia	aquilégia
aqüilégio	aquilégio
aqüíparo	aquíparo
aqüista	aquista
arabóia	araboia
aracnóide	aracnoide
araçóia	araçoia
araméia	arameia
ararabóia	araraboia
ararambóia	araramboia
arazóia	arazoia
arco-da-aliança	arco da aliança
