	BR	PT
abatista/abaptista	abatista	abatista
abjeção/abjecção	abjeção	abjeção
abjecionista/abjeccionista	abjecionista	abjecionista
abjetamente/abjectamente	abjetamente	abjetamente
abjeto/abjecto	abjeto	abjeto
acataleto/acatalecto	acatalecto	acataleto
acataleto/acatalecto	acataleto	acataleto
adoção/adopção	adoção	adoção
adocionismo/adopcionismo	adocionismo	adocionismo
adotado/adoptado	adotado	adotado
adotante/adoptante	adotante	adotante
adotar/adoptar	adotar	adotar
adotável/adoptável	adotável	adotável
adotiva/adoptiva	adotiva	adotiva
adotivamente/adoptivamente	adotivamente	adotivamente
adotivo/adoptivo	adotivo	adotivo
afeção/afecção	afeção	afeção
afeção/afecção	afecção	afeção
afetação/afectação	afetação	afetação
afetada/afectada	afetada	afetada
afetadamente/afectadamente	afetadamente	afetadamente
afetado/afectado	afetado	afetado
afetador/afectador	afetador	afetador
afetante/afectante	afetante	afetante
afetar/afectar	afetar	afetar
afetativo/afectativo	afetativo	afetativo
afetável/afectável	afetável	afetável
afetivamente/afectivamente	afetivamente	afetivamente
afetível/afectível	afectível	afectível
afetível/afectível	afetível	afectível
afetividade/afectividade	afetividade	afetividade
afetivo/afectivo	afetivo	afetivo
afeto/afecto	afeto	afeto
afetuosamente/afectuosamente	afetuosamente	afetuosamente
afetuosidade/afectuosidade	afetuosidade	afetuosidade
afetuoso/afectuoso	afetuoso	afetuoso
afilático/afiláctico	afilático	afilático
amiotático/amiotáctico	amiotáctico	amiotático
amiotático/amiotáctico	amiotático	amiotático
ampletivo/amplectivo	ampletivo	ampletivo
anabatismo/anabaptismo	anabatismo	anapatismo
anabatista/anabaptista	anabatista	anabatista
anafilático/anafiláctico	anafilático	anafilático
anaptítico/anaptíctico	anaptíctico	anaptítico
anaptítico/anaptíctico	anaptítico	anaptítico
androlético/androléptico	androléptico	androlético
androlético/androléptico	androlético	androlético
anelétrico/aneléctrico	anelétrico	anelétrico
aneletródio/anelectródio	anelectródio	aneletródio
aneletródio/anelectródio	aneletródio	aneletródio
anelétrodo/aneléctrodo	aneléctrodo	anelétrodo
anelétrodo/aneléctrodo	anelétrodo	anelétrodo
anótico/anóptico	anóptico	anótico
anótico/anóptico	anótico	anóptico
antártico/antárctico	antárctico	antártico
antártico/antárctico	antártico	antártico
anti-infeciosamente/anti-infecciosamente	anti-infecciosamente	anti-infeciosamente
anti-infeciosamente/anti-infecciosamente	anti-infeciosamente	anti-infeciosamente
anti-infecioso/anti-infeccioso	anti-infeccioso	anti-infecioso
anti-infecioso/anti-infeccioso	anti-infecioso	anti-infecioso
antiapoplético/antiapopléctico	antiapopléctico	antiapoplético
antiapoplético/antiapopléctico	antiapoplético	antiapoplético
antiatático/antiatáctico	antiatáctico	antiatático
antiatático/antiatáctico	antiatático	antiatático
antiepilético/antiepiléptico	antiepiléptico	antiepilético
antiepilético/antiepiléptico	antiepilético	antiepilético
antiferroelétrico/antiferroeléctrico	antiferroelétrico	antiferroelétrico
antimetalético/antimetaléptico	antimetaléptico	antimetalético
antimetalético/antimetaléptico	antimetalético	antimetalético
antropotático/antropotáctico	antropotáctico	antropotático
antropotático/antropotáctico	antropotático	antropotático
apodítica/apodíctica	apodíctica	apodítica
apodítica/apodíctica	apodítica	apodítica
apodítico/apodíctico	apodíctico	apodítico
apodítico/apodíctico	apodítico	apodítico
apomítico/apomíctico	apomítico	apomítico
apoplético/apopléctico	apopléctico	apoplético
apoplético/apopléctico	apoplético	apoplético
apotático/apotáctico	apotáctico	apotático
apotático/apotáctico	apotático	apotático
ártico/árctico	árctico	ártico
ártico/árctico	ártico	ártico
aspeto/aspecto	aspecto	aspeto
aspectual/aspetual	aspectual	aspetual
assintático/assintáctico	assintático	assintático
assuncionista/assumpcionista	assuncionista	assumcionista
autoinfeção/autoinfecção	autoinfecção	autoinfeção
batismal/baptismal	batismal	batismal
batismo/baptismo	batismo	batismo
batista/baptista	batista	batista
batistério/baptistério	batistério	batistério
batistino/baptistino	batistino	batistino
barotático/barotáctico	barotáctico	barotático
barotático/barotáctico	barotático	barotático
bibliofilático/bibliofiláctico	bibliofiláctico	bibliofilático
bibliofilático/bibliofiláctico	bibliofilático	bibliofilático
bijeção/bijecção	bijeção	bijeção
bioelétrico/bioeléctrico	bioelétrico	bioelétrico
biotático/biotáctico	biotático	biotático
biotático/biotáctico	biotáctico	biotático
birrefração/birrefracção	birrefração	birrefração
bissetriz/bissectriz	bissetriz	bissetriz
braquicatalético/braquicataléctico	braquicataléctico	braquicatalético
braquicatalético/braquicataléctico	braquicatalético	braquicatalético
braquicataleto/braquicatalecto	braquicatalecto	braquicataleto
braquicataleto/braquicatalecto	braquicataleto	braquicataleto
bronquetático/bronquectático	bronquectático	bronquetático
bronquetático/bronquectático	bronquetático	bronquetático
calefator/calefactor	calefator	calefator
catabatismo/catabaptismo	catabatismo	catabatismo
catabatista/catabaptista	catabatista	catabatista
catafilático/catafiláctico	catafilático	catafilático
catalético/cataléctico	cataléctico	catalético
catalético/cataléctico	catalético	catalético
cataleto/catalecto	catalecto	cataleto
cataleto/catalecto	cataleto	cataleto
catarrético/catarréctico	catarréctico	catarrético
catarrético/catarréctico	catarrético	catarrético
cética/céptica	cética	cética
ceticismo/cepticismo	ceticismo	ceticismo
cético/céptico	cético	cético
cetrífero/ceptrífero	ceptrífero	cetrífero
cetrífero/ceptrífero	cetrífero	cetrífero
cetrígero/ceptrígero	ceptrígero	cetrígero
cetrígero/ceptrígero	cetrígero	cetrígero
ciótico/cióptico	cióptico	ciótico
ciótico/cióptico	ciótico	ciótico
circunspeção/circunspecção	circunspecção	circunspeção
circunspeção/circunspecção	circunspeção	circunspeção
circunspecionar/circunspeccionar	circunspeccionar	circunspecionar
circunspecionar/circunspeccionar	circunspecionar	circunspecionar
citofilático/citofiláctico	citofilático	citofilático
citopético/citopéctico	citopéctico	citopético
citopético/citopéctico	citopético	citopéctico
codialeto/codialecto	codialeto	codialeto
coatar/coactar	coatar	coatar
coativamente/coactivamente	coativamente	coativamente
coatividade/coactividade	coatividade	coatividade
coativo/coactivo	coativo	coativo
coator/coactor	coator	coator
coatora/coactora	coatora	coatora
coartação/coarctação	coarctação	coartação
coartação/coarctação	coartação	coartação
coartada/coarctada	coarctada	coartada
coartada/coarctada	coartada	coartada
coartar/coarctar	coarctar	coartar
coartar/coarctar	coartar	coarctar
coartativo/coarctativo	coarctativo	coartativo
coartativo/coarctativo	coartativo	coartativo
cofator/cofactor	cofator	cofator
coleta/colecta	coleta	coleta
coletânea/colectânea	coletânea	coletânea
coletâneo/colectâneo	coletâneo	coletâneo
coletar/colectar	coletar	coletar
coletário/colectário	coletário	coletário
coletável/colectável	coletável	coletável
coletício/colectício	coletício	coletício
coletivamente/colectivamente	coletivamente	coletivamente
