#aciso acisa=A;src: LT;
#cadelo cadela=A;src: LT;
#coiso coisa=A;src: LT;
#espaço espaça=A;src: LT; unusual Brazil
#ninguém=A;src: LT; wrong?
#rui=A;src: LT; unusual
#turbo turba=A;src: LT;
24h=AI;src: LT;
ADSL=AI;src: LT;
AM=AI;src: LT;
FM=AI;src: LT;
LGBT=A;src: LT;
LGBTQ=A;src: LT;
LGBTQI=A;src: LT;
LGBTQIA=A;src: LT;
LGBTQIAP=A;src: LT;
LGBTfóbico LGBTfóbica=A;src: LT;
Montessori=AI;src: LT;
USB=AI;
aacheniano aacheniana=A;src: LT;
aaleniano aaleniana=A;src: LT;
aaleniense=A;src: LT;
aarónico aarónica=A;src: LT;
aarónida=A;src: LT;
ab-reativo ab-reativa=A;src: LT;
ab-reptício ab-reptícia=A;src: LT;
ab-rogado ab-rogada=A;src: LT;
ab-rogador ab-rogadora=A;src: LT;
ab-rogante=A;src: LT;
ab-rogativo ab-rogativa=A;src: LT;
ab-rogatório ab-rogatória=A;src: LT;
ab-rogável=A;src: LT;
ababalhado ababalhada=A;src: LT;
ababelado ababelada=A;src: LT;
ababosado ababosada=A;src: LT;
ababá=A;src: LT;
abacalhoado abacalhoada=A;src: LT;
abacamartado abacamartada=A;src: LT;
abacate=A;src: LT;
abacaxi=A;src: LT;
abacelado abacelada=A;src: LT;
abacelável=A;src: LT;
abacenino abacenina=A;src: LT;
abacense=A;src: LT;
abacharelado abacharelada=A;src: LT;
abacial=A;src: LT;
abacinado abacinada=A;src: LT;
abadalado abadalada=A;src: LT;
abadalhocado abadalhocada=A;src: LT;
abadanado abadanada=A;src: LT;
abadecida=A;src: LT;
abadengo abadenga=A;src: LT;
abadense=A;src: LT;
abadesco abadesca=A;src: LT;
abadinense=A;src: LT;
abado abada=A;src: LT;
abaetado abaetada=A;src: LT;
abaeteense=A;src: LT;
abaetê=A;src: LT;
abafadiço abafadiça=A;src: LT;
abafado abafada [sup. abafadíssimo]=A;src: LT;
abafador abafadora=A;src: LT;
abafante=A;src: LT;
abafável=A;src: LT;
abaganhado abaganhada=A;src: LT;
abagualado abagualada=A;src: LT;
abagulhado abagulhada=A;src: LT;
abaianado abaianada=A;src: LT;
abainhado abainhada=A;src: LT;
abaionetado abaionetada=A;src: LT;
abairrado abairrada=A;src: LT;
abaiucado abaiucada=A;src: LT;
abaixado abaixada=A;src: LT;
abaixador abaixadora=A;src: LT;
abaixante=A;src: LT;
abaixável=A;src: LT;
abajoujado abajoujada [sup. abajoujadíssimo]=A;src: LT;
abaladiço abaladiça=A;src: LT;
abalado abalada [sup. abaladíssimo]=A;src: LT;
abalador abaladora=A;src: LT;
abalaiado abalaiada=A;src: LT;
abalançado abalançada [sup. abalançadíssimo]=A;src: LT;
abalaustrado abalaustrada=A;src: LT;
abalaustrável=A;src: LT;
abalienado abalienada=A;src: LT;
abalienável=A;src: LT;
abalistado abalistada=A;src: LT;
abalizado abalizada=A;src: LT;
abalizador abalizadora=A;src: LT;
abalizante=A;src: LT;
abaloado abaloada=A;src: LT;
abalofado abalofada=A;src: LT;
abalonado abalonada=A;src: LT;
abalroado abalroada=A;src: LT;
abalroador abalroadora=A;src: LT;
abalroante=A;src: LT;
abalroável=A;src: LT;
abalsado abalsada=A;src: LT;
abalsamado abalsamada=A;src: LT;
abaluartado abaluartada=A;src: LT;
abalável=A;src: LT;
abalçado abalçada=A;src: LT;
abambalhado abambalhada=A;src: LT;
abambolinado abambolinada=A;src: LT;
abambresense=A;src: LT;
abanado abanada [sup. abanadíssimo]=A;src: LT;
abananado abananada [sup. abananadíssimo]=A;src: LT;
abanante=A;src: LT;
abancado abancada=A;src: LT;
abandado abandada=A;src: LT;
abandalhado abandalhada [sup. abandalhadíssimo]=A;src: LT;
abandalhador abandalhadora=A;src: LT;
abandalhável=A;src: LT;
abandeado abandeada=A;src: LT;
abandejado abandejada=A;src: LT;
abandidado abandidada=A;src: LT;
abandoado abandoada=A;src: LT;
abandoador abandoadora=A;src: LT;
abandolinado abandolinada=A;src: LT;
abandonado abandonada [sup. abandonadíssimo]=A;src: LT;
abandonador abandonadora=A;src: LT;
abandonante=A;src: LT;
abandonável=A;src: LT;
abanicado abanicada=A;src: LT;
abanquetado abanquetada=A;src: LT;
abante=A;src: LT;
abanteu abanteia=A;src: LT;
abanto abanta=A;src: LT;
abanável=A;src: LT;
abaquetado abaquetada=A;src: LT;
abaratado abaratada=A;src: LT;
abarbado abarbada=A;src: LT;
abarbarado abarbarada=A;src: LT;
abarbetado abarbetada=A;src: LT;
abarcado abarcada=A;src: LT;
abarcador abarcadora=A;src: LT;
abarcante=A;src: LT;
abarcável=A;src: LT;
abaretado abaretada=A;src: LT;
abargantado abargantada=A;src: LT;
abaritano abaritana=A;src: LT;
abaritonado abaritonada=A;src: LT;
abarracado abarracada=A;src: LT;
abarracador abarracadora=A;src: LT;
abarregado abarregada=A;src: LT;
abarreirado abarreirada=A;src: LT;
abarretado abarretada=A;src: LT;
abarretinado abarretinada=A;src: LT;
abarricado abarricada=A;src: LT;
abarrilado abarrilada=A;src: LT;
abarroado abarroada=A;src: LT;
