#no no RG
#nom nom RG
#porque porque RG
#sabe sabe RG #Cabo Verde Guiné-Bissau
abaixo abaixo RG
abasto abasto RG
abeterno abeterno RG
abintestado abintestado RG
abinício abinício RG
abofé abofé RG
abonde abonde RG
abondo abondo RG
acaso acaso RG
acerca acerca RG
acima acima RG
acinte acinte RG
acolá acolá RG
acá acá RG
adedentro adedentro RG
ademais ademais RG
adentro adentro RG
adiantado adiantado RG
adiante adiante RG
adoidado adoidado RG
adonde adonde RG
adrede adrede RG
adur adur RG
adúnia adúnia RG
afinal afinal RG
afora afora RG
agora agora RG
agorinha agorinha RG
ainda ainda RG
aldemenos aldemenos RG
alerta alerta RG
alfim alfim RG
algo algo RG
algures algures RG
alhures alhures RG
ali ali RG
aliás aliás RG
almenos almenos RG
alonge alonge RG
alpardinha alpardinha RG
alpardo alpardo RG
alquando alquando RG
alto alto RG
alá alá RG
além além RG
além-eras além-eras RG
além-fronteiras além-fronteiras RG
além-mar além-mar RG
além-mundo além-mundo RG
além-túmulo além-túmulo RG
aló aló RG
amanhã amanhã RG
amiúde amiúde RG
antanho antanho RG
ante ante RG
antedia antedia RG
antemanhã antemanhã RG
antemão antemão RG
anteontem anteontem RG
antes antes RG
antessazão antessazão RG
antetempo antetempo RG
antontem antontem RG
antão antão RG
aná aná RG
aonde aonde RG
apenas apenas RG
apesar apesar RG
após após RG
aquase aquase RG
aqui aqui RG
aquém aquém RG
aquém-fronteiras aquém-fronteiras RG
aquém-mar aquém-mar RG
arredor arredor RG
arrepia-cabelo arrepia-cabelo RG
arriba arriba RG
asinha asinha RG
assaz assaz RG
assi assi RG
assim assim RG
assim-assim assim-assim RG
através através RG
atrás atrás RG
até até RG
avante avante RG
avonde avonde RG
avondo avondo RG
azinha azinha RG
aí aí RG
baixinho baixinho RG
baixo baixo RG
barato barato RG
baril baril RG
bastante bastante RG
basto basto RG
bem bem RG
bis bis RG
bofá bofá RG
bofé bofé RG
bonideco bonideco RG
breve breve RG
brevíssimo brevíssimo RG
buereré buereré RG
buererê buererê RG
bué bué RG
cabonde cabonde RG
cadê cadê RG
caro caro RG
cedinho cedinho RG
cedito cedito RG
cedo cedo RG
cedíssimo cedíssimo RG
cerca cerca RG
cerce cerce RG
certinho certinho RG
certo certo RG
certíssimo certíssimo RG
chus chus RG
claro claro RG
como como RG
conforme conforme RG
confronte confronte RG
contanto contanto RG
contino contino RG
contra contra RG
contrafundo contrafundo RG
contranatura contranatura RG
contínuo contínuo RG
crás crás RG
curi curi RG
cá cá RG
cási cási RG
dantes dantes RG
debaixo debaixo RG
debalde debalde RG
decerto decerto RG
defronte defronte RG
demais demais RG
demasiado demasiado RG
dentro dentro RG
depois depois RG
depressa depressa RG
depressinha depressinha RG
depressita depressita RG
depressíssimo depressíssimo RG
derredor derredor RG
despois despois RG
dessarte dessarte RG
destarte destarte RG
detrás detrás RG
devagar devagar RG
devagarinho devagarinho RG
devagarito devagarito RG
devagarzinho devagarzinho RG
devagaríssimo devagaríssimo RG
deveras deveras RG
diante diante RG
