#aciso=M;src: LT;
#almofadinha=F;src: dim;
#antípodas=MP;src: LT;
#bandeirinha=F;src: dim;
#cadeirinha=MF;src: LT;
#camita=F;src: dim;
#capinha=F;src: dim;
#diabeta=M;src: LT; error?
#figurinha=MF;src: LT;
#football=MS;src: English;
#livre=M;src: LT;
#lobe=M;src: michaelis;
#mai=F;src: LT; Moçambique, unusual
#para=MF;src: LT;
#pára-quedismo=M;src: LT;
#ravioli=MP;src: LT;
#saudita=F;src: dim;
#sofrer=M;src: LT;
#tampinha=F;src: dim;
#temo=M;src: LT; rare?
#ter=M;src: LT; rare or wrong?
#terrível=M;src: LT;
#violar=M;src: LT;
1D=MFI;src: LT;
2D=MFI;src: LT;
3D=MFI;src: LT;
4D=MFI;src: LT;
5D=MFI;src: LT;
ABS [pl. ABSs]=MF;src: LT;
ADN [pl. ADNs]=M;src: infopédia;
ADSL=FI;src: sigla;
AFIS=MFS;src: LT;
AI=FI; src:English;
API [pl. APIs]=F;src: LT;
ASCII=MS; src:English;
BPC=MFS;src: LT;
CCQ [pl. CCQs]=M;src: LT;
CDB=M;src: LT;
CISC=MI; src:English;
COVID-19=FS;src: LT;
COVID=FS;src: LT;
CPA [pl. CPAs]=MF;src: LT;
CPU=FI; src:English;
CRO=MS;src: LT;
CSAT [pl. CSATs]=M;src: LT;
CVV=MS;src: LT;
Coca-Cola [pl. Coca-Colas]=F;src: LT;
Covid-19=FS;src: LT;
Covid=FS;src: LT;
DM [pl.DMs]=F;src: LT;
DNA [pl. DNAs]=M;src: infopédia;
DR [pl. DRs]=MF;src: LT;
DJ [pl.DJs]=MF; src: LT;
DSM=MFS;src: LT;
ECG=MI;src: michaelis;
EMA [pl. EMAs]=M;src: LT;
EPI [pl. EPIs]=M;src: LT;
FAQ=FI; src:English;
FSR=MS;src: LT;
FTP=MI; src:English;
GB=MS;src: LT;
GIF [pl. GIFs]=M;src: LT;
HIV [pl. HIVs]=M;src: LT;
HTML=MI; src:English;
IMEI [pl. IMEIs]=MF;src: LT;
IRCop [pl. IRCops]=MF; src:English;
JPEG [pl. JPEGs]=MF;src: LT;
JPG [pl. JPGs]=MF;src: LT;
KO=MI;
LDB [pl. LDBs]=MF;src: LT;
LED=MI;
LGBTfobia [pl. LGBTfobias]=MF;src: LT;
LSD=MS;
MB=MI;src: LT;
MDF [pl. MDFs]=M;src: LT;
MHz=MI;src: LT;
MP3=MI;src: LT;
MP4=MI;src: LT;
MPB=FI;src: LT;
MVP [pl. MVPs]=MF;src: LT;
ONG=FI;
PAC [pl. PACs]=M;src: LT;
PC=MI; src:English;
PCD [pl. PCDs]=F;src: LT;
PCMSO=MI;src: LT;
PDA=MI; src:English;
PDF=MI; src:English;
PIN [pl. PINs]=M;src: LT;
PME=FI;
PNB=MI;
PNG [pl. PNGs]=M;src: LT;
PSNA=FI;src: LT;
PowerPC=MI; src:English;
RAM=FI;src: LT;
RDPM [pl. RDPMs]=MF;src: LT;
RISC=MI; src:English;
RNA [pl. RNAs]=M;
ROI=MS;src: LT;
SEDEX=FI;src: LT;
SSD=MI; src:English;
SSL=MI; src:English;
TBI=MF;src: LT;
TDAH [pl. TDAHs]=M;src: LT;
TED [pl. TEDs]=M;src: LT;
TPA=MI; src:English;
UC=FI;src: sigla;
USB=MI; src:English;
VPN=FI; src:English;
XML=MI; src:English;
Z80=MI; src:English;
a-pedido=M;src: LT;
a-propósito=M;src: LT;
a-tempo=M;src: LT;
aa=F;src: LT;
aabora=F;src: LT;
aacheniano=M;src: LT;
aal [pl. aal]=MI;src: LT;
aaleniense=MF;src: LT;
aalénio=M;src: LT;
aalênio=M;src: LT;
aardvark [pl. aardvarks]=M;src: LT;
aaronita=M;src: LT;
aarónida=MF;src: LT;
aarônida=MF;src: LT;
ab-reação [pl. ab-reações]=F;src: LT;
ab-rogador=M;src: LT;
ab-rogamento=M;src: LT;
ab-rogante=MF;src: LT;
ab-rogação [pl. ab-rogações]=F;src: LT;
aba=MF;src: LT;
ababá=MF;src: LT;
abacanto=M;src: LT;
abacate=MF;src: LT;
abacateira=F;src: LT;
abacateiro=M;src: LT;
abacaxi=MF;src: LT;
abacelamento=M;src: LT;
abacenino=M;src: LT;
abacense=MF;src: LT;
abacinamento=M;src: LT;
abacisco=M;src: LT;
abacista=MF;src: LT;
abacomitato=M;src: LT;
abacto=M;src: LT;
abactor=M;src: LT;
abacá=M;src: LT;
abacómite=M;src: LT;
abacômite=M;src: LT;
abada=F;src: LT;
abadado=M;src: LT;
abadalhocado=M;src: LT;
abade abadessa=MF;src: LT;
abadecida=MF;src: LT;
abadecídio=M;src: LT;
abadejo=M;src: LT;
abadengo=M;src: LT;
abadense=MF;src: LT;
abaderna=F;src: LT;
abadessado=M;src: LT;
abadessazinha=F;src: dim;
abadessazita=F;src: dim;
abadessão [pl. abadessões]=M;src: LT;
abadezinho=M;src: dim;
abadezito=M;src: dim;
abadia=F;src: LT;
abadiado=M;src: LT;
abadinense=MF;src: LT;
abadir=M;src: LT;
abadágio=M;src: LT;
abaeteense=MF;src: LT;
abaetê=MF;src: LT;
abafadela=F;src: LT;
abafado=M;src: LT;
abafador abafadora=MF;src: LT;
abafadouro=M;src: LT;
abafadura=F;src: LT;
abafamento=M;src: LT;
abafar=M;src: LT;
abafarete=M;src: LT;
abafas=FP;src: LT;
abafação [pl. abafações]=F;src: LT;
abafeira=F;src: LT;
abafeiro=M;src: LT;
abafo=M;src: LT;
abaguim=M;src: LT;
abagum=M;src: LT;
abairramento=M;src: LT;
abaisir=M;src: LT;
abaixa-luz=M;src: LT;
abaixa-língua=M;src: LT;
abaixa-pálpebra=M;src: LT;
abaixa-voz=F;src: LT;
abaixa=F;src: LT;
abaixadela=F;src: LT;
abaixador=M;src: LT;
abaixadura=F;src: LT;
abaixamento=M;src: LT;
abaixante=MF;src: LT;
abaixo-assinado=M;src: LT;
abajeru=M;src: LT;
abajoujamento=M;src: LT;
abajur=M;src: LT;
abalada=F;src: LT;
abaladela=F;src: LT;
abalador=M;src: LT;
abaladura=F;src: LT;
abalamento=M;src: LT;
abalançamento=M;src: LT;
abalaustramento=M;src: LT;
abaliedade=F;src: LT;
abalienação [pl. abalienações]=F;src: LT;
abalizador=M;src: LT;
abalizamento=M;src: LT;
abalo=M;src: LT;
abaloamento=M;src: LT;
abalona=F;src: LT;
abalonamento=M;src: LT;
abalone=M;src: LT;
abalroa=F;src: LT;
abalroada=F;src: LT;
abalroadela=F;src: LT;
abalroador=M;src: LT;
abalroadora=F;src: LT;
abalroamento=M;src: LT;
abalroação [pl. abalroações]=F;src: LT;
abaluartamento=M;src: LT;
abama=F;src: LT;
abambresense=MF;src: LT;
abana-mosca=M;src: LT;
abanadela=F;src: LT;
abanador=M;src: LT;
abanadura=MF;src: LT;
abanamento=M;src: LT;
abanação [pl. abanações]=F;src: LT;
abancado=M;src: LT;
abandalhador=M;src: LT;
abandalhamento=M;src: LT;
abandalhação [pl. abandalhações]=F;src: LT;
abandeiramento=M;src: LT;
abandejo=M;src: LT;
abandião [pl. abandiões]=M;src: LT;
abandoador=M;src: LT;
abandonado abandonada=MF;src: LT;
abandonador=M;src: LT;
abandonamento=M;src: LT;
abandonatário=M;src: LT;
abandono=M;src: LT;
abanga=F;src: LT;
abanheenga=M;src: LT;
abanheém=M;src: LT;
abanico=M;src: LT;
abano=M;src: LT;
abante=MF;src: LT;
abantesma=MF;src: LT;
abanto=M;src: LT;
abanão [pl. abanões]=M;src: LT;
abaptista=MF;src: LT;
abarca=F;src: LT;
abarcador abarcadora=MF;src: LT;
abarcadura=F;src: LT;
abarcamento=M;src: LT;
abarcante=MF;src: LT;
abarcas=FP;src: LT;
abaremotemo=M;src: LT;
abarga=F;src: LT;
abariga=F;src: LT;
abaritano=M;src: LT;
abarqueiro=M;src: LT;
abarracador=M;src: LT;
abarracamento=M;src: LT;
abarrancamento=M;src: LT;
abarregamento=M;src: LT;
abarreiramento=M;src: LT;
abarrotamento=M;src: LT;
abarticulação [pl. abarticulações]=F;src: LT;
abartrose=F;src: LT;
abaruna=M;src: LT;
abará=M;src: LT;
abaré=M;src: LT;
abarém=M;src: LT;
abascanto=M;src: LT;
abasia=F;src: LT;
abassi=MF;src: LT;
abastamento=M;src: LT;
abastança=F;src: LT;
abastardamento=M;src: LT;
abastardeamento=M;src: LT;
abastecedor abastecedora=MF;src: LT;
abastecedouro=M;src: LT;
abastecimento=M;src: LT;
abastimento=M;src: LT;
abat-jour [pl. abat-jours]=M;src: LT;
abatanado=M;src: LT;
abate=M;src: LT;
abatedor=M;src: LT;
abatelamento=M;src: LT;
abati=M;src: LT;
abaticida=MF;src: LT;
abaticídio=M;src: LT;
abatiguara=MF;src: LT;
abatiguaçu=M;src: LT;
abatimento=M;src: LT;
abatimirim=M;src: LT;
abatipó=MF;src: LT;
abatirá=MF;src: LT;
abatis [pl. abatises]=M;src: LT;
abatista=MF;src: LT;
abatixi=M;src: LT;
abatocadura=F;src: LT;
abatómetro=M;src: LT;
abatômetro=M;src: LT;
abaulador=M;src: LT;
abaulamento=M;src: LT;
abaíba=MF;src: LT;
abaúna=MF;src: LT;
abc [pl. abcs]=M;src: LT;
abcedência=F;src: LT;
abcesso=M;src: LT;
abcessão [pl. abcessões]=F;src: LT;
abcissa=F;src: LT;
abcissão [pl. abcissões]=F;src: LT;
abcisão [pl. abcisões]=F;src: LT;
abcári=M;src: LT;
abdalita=MF;src: LT;
abderense=MF;src: LT;
abderiano=M;src: LT;
abderita=MF;src: LT;
abderitismo=M;src: LT;
abderítico=M;src: LT;
abderólogo=M;src: LT;
abdicador abdicatriz=MF;src: LT;
abdicante=MF;src: LT;
abdicatário=M;src: LT;
abdicação [pl. abdicações]=F;src: LT;
abditório=M;src: LT;
abdome=M;src: LT;
abdominal=M;src: LT;
abdominia=F;src: LT;
abdominoscopia=F;src: LT;
abdominoscópio=M;src: LT;
abdutor=M;src: LT;
abdução [pl. abduções]=F;src: LT;
abdómen [pl. abdómens]=M;src: LT;
abdômen [pl. abdômenes]=M;src: LT;
abeata=MF;src: LT;
abeberação [pl. abeberações]=F;src: LT;
abebereira=F;src: LT;
abebra=F;src: LT;
abecedária=F;src: LT;
abecedário=M;src: LT;
abecoinha=F;src: LT;
abegoa=F;src: LT;
abegoaria=F;src: LT;
abegoura=F;src: LT;
abegão [pl. abegães]=M;src: LT;
abeiramento=M;src: LT;
abeiro=M;src: LT;
abejaruco=M;src: LT;
abelano=M;src: LT;
abelense=MF;src: LT;
abelha=F;src: LT;
abelhal=M;src: LT;
abelhamirim=F;src: LT;
abelharuco=M;src: LT;
abelheiro abelheira=MF;src: LT;
abelhinha=F;src: LT;
abelhinha=F;src: dim;
abelhita=F;src: dim;
abelhuco=M;src: LT;
abelhudice=F;src: LT;
abelhudo abelhuda=MF;src: LT;
abelhão [pl. abelhões]=M;src: LT;
abeliano=M;src: LT;
abelinate=MF;src: LT;
abelmeluco=M;src: LT;
abelmosco=M;src: LT;
abeloira=F;src: LT;
abeloura=F;src: LT;
abencerrage=MF;src: LT;
abencerragem=M;src: LT;
abendiçoador=M;src: LT;
abendiçoante=MF;src: LT;
abentesma=MF;src: LT;
abençoadeiro=M;src: LT;
abençoador=M;src: LT;
abençoamento=M;src: LT;
abençoante=MF;src: LT;
aberração [pl. aberrações]=F;src: LT;
aberta=F;src: LT;
abertivo=M;src: LT;
aberto=M;src: LT;
abertoiras=FP;src: LT;
abertona=F;src: LT;
abertouras=FP;src: LT;
abertura=F;src: LT;
aberém=M;src: LT;
abespinhamento=M;src: LT;
abessana=F;src: LT;
abessim=MF;src: LT;
abessino=M;src: LT;
abestamento=M;src: LT;
abestruz=MF;src: LT;
abeta=F;src: LT;
abetarda=F;src: LT;
abetardinha=F;src: LT;
abete=M;src: LT;
abeto=M;src: LT;
abetoira=F;src: LT;
abetoiro=M;src: LT;
abetoninha=F;src: LT;
abetoura=F;src: LT;
abetouro=M;src: LT;
