#aquelar=V;model:amar;src: LT; regionalism, some matches with aquele
#atuir=V;model:abluir;src: LT; regionalism, some forms match "atuar"
#erar=V;model:amar;src: LT; regionalism
#exir=V;model:demitir;src: LT; old
#quentar=V;model:amar;src: LT; -> aquentar
#sociar=V;model:amar;src: LT; rare
ab-rogar=V;model:alugar;src: LT;
ababalhar=V;model:amar;src: LT;
ababelar=V;model:amar;src: LT;
ababosar=V;model:amar;src: LT;
abacalhoar=V;model:amar;src: LT;
abacelar=V;model:amar;src: LT;
abacharelar=V;model:amar;src: LT;
abacinar=V;model:amar;src: LT;
abadalar=V;model:amar;src: LT;
abadanar=V;model:amar;src: LT;
abadar=V;model:amar;src: LT;
abadernar=V;model:amar;src: LT;
abadessar=V;model:amar;src: LT;
abadiar=V;model:amar;src: LT;
abaetar=V;model:amar;src: LT;
abafar=V;model:amar;src: LT;
abaganhar=V;model:amar;src: LT;
abagaçar=V;model:atiçar;src: LT;
abagoar=V;model:amar;src: LT;
abainhar=V;model:amar;src: LT;
abaionetar=V;model:amar;src: LT;
abairrar=V;model:amar;src: LT;
abaiucar=V;model:colocar;src: LT;
abaixar=V;model:amar;src: LT;
abajoujar=V;model:amar;src: LT;
abalançar=V;model:atiçar;src: LT;
abalar=V;model:amar;src: LT;
abalaustrar=V;model:balaustrar;src: LT;
abalienar=V;model:amar;src: LT;
abalistar=V;model:amar;src: LT;
abalizar=V;model:amar;src: LT;
abaloar=V;model:amar;src: LT;
abalofar=V;model:amar;src: LT;
abalonar=V;model:amar;src: LT;
abalroar=V;model:amar;src: LT;
abalsamar=V;model:amar;src: LT;
abalsar=V;model:amar;src: LT;
abalseirar=V;model:amar;src: LT;
abaluartar=V;model:amar;src: LT;
abalumar=V;model:amar;src: LT;
abalçar=V;model:atiçar;src: LT;
abambolinar=V;model:amar;src: LT;
abananar=V;model:amar;src: LT;
abanar=V;model:amar;src: LT;
abancar=V;model:colocar;src: LT;
abandalhar=V;model:amar;src: LT;
abandar=V;model:amar;src: LT;
abandear=V;model:arear;src: LT;
abandeirar=V;model:amar;src: LT;
abandejar=V;model:amar;src: LT;
abandidar=V;model:amar;src: LT;
abandoar=V;model:amar;src: LT;
abandolinar=V;model:amar;src: LT;
abandonar=V;model:amar;src: LT;
abanicar=V;model:colocar;src: LT;
abanquetar=V;model:amar;src: LT;
abaquetar=V;model:amar;src: LT;
abar=V;model:amar;src: LT;
abaratar=V;model:amar;src: LT;
abarbar=V;model:amar;src: LT;
abarbarar=V;model:amar;src: LT;
abarbarizar=V;model:amar;src: LT;
abarbatar=V;model:amar;src: LT;
abarbear=V;model:arear;src: LT;
abarbelar=V;model:amar;src: LT;
abarbetar=V;model:amar;src: LT;
abarbilhar=V;model:amar;src: LT;
abarcar=V;model:colocar;src: LT;
abargantar=V;model:amar;src: LT;
abaritonar=V;model:amar;src: LT;
abaronar=V;model:amar;src: LT;
abarracar=V;model:colocar;src: LT;
abarrancar=V;model:colocar;src: LT;
abarregar=V;model:alugar;src: LT;
abarreirar=V;model:amar;src: LT;
abarretar=V;model:amar;src: LT;
abarretinar=V;model:amar;src: LT;
abarricar=V;model:colocar;src: LT;
abarrigar=V;model:alugar;src: LT;
abarrilar=V;model:amar;src: LT;
abarrocar=V;model:colocar;src: LT;
abarrotar=V;model:amar;src: LT;
abarruntar=V;model:amar;src: LT;
abasbacar=V;model:colocar;src: LT;
abastar=V;model:amar;src: LT;
abastardar=V;model:amar;src: LT;
abastardear=V;model:arear;src: LT;
abastecer=V;model:gerecer;src: LT;
abastionar=V;model:amar;src: LT;
abastonar=V;model:amar;src: LT;
abatatar=V;model:amar;src: LT;
abatelar=V;model:amar;src: LT;
abater=V;model:temer;src: LT;
abatinar=V;model:amar;src: LT;
abatocar=V;model:colocar;src: LT;
abaular=V;model:amar;src: LT;
abaunilhar=V;model:amar;src: LT;
